Aluminum_Type,Type_x,Stdname,Certifié le,Inventaire,Débit / an,Tri,REMARQUE,Tiers,Prix,Type_y,Statut,InvCheck,Number,Alloy,Series,Position,Remplace,Initial,Cu,Fe,Mg,Mn,Ni,Si,Ti,Zn,Bi,Cr,Pb,Sn,B,Be,Ca,Cd,Co,Ga,Li,Na,Sr,V,Zr,Sb,P,K,SiC,Hg,As,Ba,Mo,Tl
3004,3004 CAM,3004 CAM,02/01/1994,1.0,12.0,1,Ok,N,200,D,,,20167.0,3004,CAM DS,,  3004 CAJ,120,0.17,0.56,1.26,1.16,0.0005,0.22,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
3004.1,3004 CAM,3004 CAM,02/01/1994,1.0,12.0,1,Ok,N,200,D,,,20167.0,3004,CAM DS,,  3004 CAJ,120,0.17,0.56,1.26,1.16,0.0005,0.22,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
3004.2,3004 CAM,3004 CAM,02/01/1994,1.0,12.0,1,Ok,N,200,D,,,20167.0,3004,CAM DS,,  3004 CAJ,120,0.17,0.56,1.26,1.16,0.0005,0.22,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
3005,3005 CAB,3005 CAB,05/06/1993,49.0,10.0,1,,N,200,D,,,21066.0,3005,CAB DS,,,120,0.0001,0.44,0.45,1.16,0.0003,0.19,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,,,,,,,
3005.1,3005 CAB,3005 CAB,05/06/1993,49.0,10.0,1,,N,200,D,,,21066.0,3005,CAB DS,,,120,0.0001,0.44,0.45,1.16,0.0003,0.19,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,,,,,,,
3005.2,3005 CAB,3005 CAB,05/06/1993,49.0,10.0,1,,N,200,D,,,21066.0,3005,CAB DS,,,120,0.0001,0.44,0.45,1.16,0.0003,0.19,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,,,,,,,
3105,3105 AD,3105 AD,04/20/1994,200.0,26.0,1,,N,200,D,,,10347.0,3105,AD D,,  3105 AC,120,0.09,0.49,0.5,0.52,0.029,0.23,0.038,0.14,0.015,0.094,0.013,0.014,,0.001,0.0026,,,0.023,0.0011,0.0013,0.0024,0.023,0.0026,0.0029,0.002,,,,,,,
3105.1,3105 AD,3105 AD,04/20/1994,200.0,26.0,1,,N,200,D,,,10347.0,3105,AD D,,  3105 AC,120,0.09,0.49,0.5,0.52,0.029,0.23,0.038,0.14,0.015,0.094,0.013,0.014,,0.001,0.0026,,,0.023,0.0011,0.0013,0.0024,0.023,0.0026,0.0029,0.002,,,,,,,
3105.2,3105 AD,3105 AD,04/20/1994,200.0,26.0,1,,N,200,D,,,10347.0,3105,AD D,,  3105 AC,120,0.09,0.49,0.5,0.52,0.029,0.23,0.038,0.14,0.015,0.094,0.013,0.014,,0.001,0.0026,,,0.023,0.0011,0.0013,0.0024,0.023,0.0026,0.0029,0.002,,,,,,,
5454,5454 CAB,5454 CAB,03/02/1992,49.0,5.0,1,,N,200,D,,,20145.0,5454,CAB DS,,,120,0.0004,0.15,2.66,0.79,0.0001,0.13,0.0002,0.0004,0.0001,0.1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
5454.1,5454 CAB,5454 CAB,03/02/1992,49.0,5.0,1,,N,200,D,,,20145.0,5454,CAB DS,,,120,0.0004,0.15,2.66,0.79,0.0001,0.13,0.0002,0.0004,0.0001,0.1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
5454.2,5454 CAB,5454 CAB,03/02/1992,49.0,5.0,1,,N,200,D,,,20145.0,5454,CAB DS,,,120,0.0004,0.15,2.66,0.79,0.0001,0.13,0.0002,0.0004,0.0001,0.1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
6111,6111 AE,6111 AE,06/21/1995,417.0,3.0,1,recu le 4-11-94,N,200,D,,,10346.0,6111,AE D,,NEW,120,0.75,0.24,0.77,0.2,0.028,0.6,0.065,0.027,0.025,0.072,0.016,0.018,,0.0013,0.0023,0.0014,,0.019,0.0025,0.0019,0.0026,0.023,0.0031,0.0031,0.003,,,,,,,
6111.1,6111 AE,6111 AE,06/21/1995,417.0,3.0,1,recu le 4-11-94,N,200,D,,,10346.0,6111,AE D,,NEW,120,0.75,0.24,0.77,0.2,0.028,0.6,0.065,0.027,0.025,0.072,0.016,0.018,,0.0013,0.0023,0.0014,,0.019,0.0025,0.0019,0.0026,0.023,0.0031,0.0031,0.003,,,,,,,
6111.2,6111 AE,6111 AE,06/21/1995,417.0,3.0,1,recu le 4-11-94,N,200,D,,,10346.0,6111,AE D,,NEW,120,0.75,0.24,0.77,0.2,0.028,0.6,0.065,0.027,0.025,0.072,0.016,0.018,,0.0013,0.0023,0.0014,,0.019,0.0025,0.0019,0.0026,0.023,0.0031,0.0031,0.003,,,,,,,
6061,6061 DAO,6061 DAO,10/17/2000,499.0,,0,standard de contrôle de qualité,N,150,D,,,10559.0,6061,DAO D,,NEW,500,0.303,0.242,0.985,0.0078,0.0048,0.638,0.0125,0.0139,,0.151,0.001,0.0005,0.0002,,0.0001,,0.0002,0.0172,,0.0001,,0.012,0.0023,,0.0008,,,,,,,
6061.1,6061 DAO,6061 DAO,10/17/2000,499.0,,0,standard de contrôle de qualité,N,150,D,,,10559.0,6061,DAO D,,NEW,500,0.303,0.242,0.985,0.0078,0.0048,0.638,0.0125,0.0139,,0.151,0.001,0.0005,0.0002,,0.0001,,0.0002,0.0172,,0.0001,,0.012,0.0023,,0.0008,,,,,,,
6061.2,6061 DAO,6061 DAO,10/17/2000,499.0,,0,standard de contrôle de qualité,N,150,D,,,10559.0,6061,DAO D,,NEW,500,0.303,0.242,0.985,0.0078,0.0048,0.638,0.0125,0.0139,,0.151,0.001,0.0005,0.0002,,0.0001,,0.0002,0.0172,,0.0001,,0.012,0.0023,,0.0008,,,,,,,
6351,6351 AJ,6351 AJ,04/25/1996,138.0,38.0,1,analyse de variance à venir en Juin 96,N,240,D,,,10388.0,6351,AJ D,,  6351 AH,250,0.057,0.32,0.61,0.57,0.03,1.14,0.05,0.057,0.017,0.032,0.0084,0.018,,0.0011,0.0022,0.0016,,0.021,0.0027,0.0024,0.0022,0.021,0.0037,0.0042,0.005,,,,,,,
6351.1,6351 AJ,6351 AJ,04/25/1996,138.0,38.0,1,analyse de variance à venir en Juin 96,N,240,D,,,10388.0,6351,AJ D,,  6351 AH,250,0.057,0.32,0.61,0.57,0.03,1.14,0.05,0.057,0.017,0.032,0.0084,0.018,,0.0011,0.0022,0.0016,,0.021,0.0027,0.0024,0.0022,0.021,0.0037,0.0042,0.005,,,,,,,
6351.2,6351 AJ,6351 AJ,04/25/1996,138.0,38.0,1,analyse de variance à venir en Juin 96,N,240,D,,,10388.0,6351,AJ D,,  6351 AH,250,0.057,0.32,0.61,0.57,0.03,1.14,0.05,0.057,0.017,0.032,0.0084,0.018,,0.0011,0.0022,0.0016,,0.021,0.0027,0.0024,0.0022,0.021,0.0037,0.0042,0.005,,,,,,,
1063,HP FJ,HP FJ,01/15/2002,1080.0,300.0,0,,N,295,D,,,,HP,FJ D,,     HP FI,1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
1063.1,HP FJ,HP FJ,01/15/2002,1080.0,300.0,0,,N,295,D,,,,HP,FJ D,,     HP FI,1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
1063.2,HP FJ,HP FJ,01/15/2002,1080.0,300.0,0,,N,295,D,,,,HP,FJ D,,     HP FI,1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
413,A413.2 CAB,A413.2 CAB,06/10/1994,33.0,17.0,1,,N,200,D,,,20175.0,A413.2,CAB DS,,   160 CDV,120,0.0006,0.37,0.0001,0.0016,0.0001,11.99,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0014,0.0003,,,,,,,
413.1,A413.2 CAB,A413.2 CAB,06/10/1994,33.0,17.0,1,,N,200,D,,,20175.0,A413.2,CAB DS,,   160 CDV,120,0.0006,0.37,0.0001,0.0016,0.0001,11.99,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0014,0.0003,,,,,,,
413.2,A413.2 CAB,A413.2 CAB,06/10/1994,33.0,17.0,1,,N,200,D,,,20175.0,A413.2,CAB DS,,   160 CDV,120,0.0006,0.37,0.0001,0.0016,0.0001,11.99,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0014,0.0003,,,,,,,
